id,dialogueText,choice1,choice2,choice3,choice4,Speaker,TimeLimit
156,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
157,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
158,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
159,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
160,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
161,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
162,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
163,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
164,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
165,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
166,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
167,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
168,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
169,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
170,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
171,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
172,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
173,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
174,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
175,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
176,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
177,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
178,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
179,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
180,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
181,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
182,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
183,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
184,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
185,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
186,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
187,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
188,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
189,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
190,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
191,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
192,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
193,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
194,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
195,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
196,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
197,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
198,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
199,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
200,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
201,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
202,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
203,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
204,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
205,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
206,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
207,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
208,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
209,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
210,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
211,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
212,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
213,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
214,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
215,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
216,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
217,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
218,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
219,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
220,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
221,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
222,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
223,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
224,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
225,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
226,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
227,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
228,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
229,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
230,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
231,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
232,You realize that while its not banned at the universityCOMMA it's discouraged to get too drunk to speak properly.,You know what I meant to say,I meant what you know to say,NoCOMMA you're drunk,Ah'm nodrun,Kerensuki,30
233,Speeding away from Kerensuki before she can continue the conversationCOMMA her words ringing in your head,Renin...,Renin...,Renin...,Renin...,Narrator,10
234,The old Young Marxist Club room would probably be the best place to check first,To the housing district!,To the housing district!,To the housing district!,To the housing district!,Narrator,15
235,WaitCOMMA what was I thinking again? I must be getting pretty absent-minded...,Right! Renin!,Right! Renin!,Right! Renin!,Right! Renin!,Narrator,25
236,Running across the run-down paths of the university housing you take some false turns to lose any followers before you head to the secret meeting place,Make a left,Go right,Continue Forward,U-turn time,Narrator,10
237,You continue running before dipping out into a side alley to see if anyone does the sameCOMMA nobody does. You continue on,...,...,...,...,Narrator,7
238,CRASH! Hot dogs go flying,*grab one!*,*grab one!*,*grab one!*,*grab one!*,Narrator,10
239,AHHHHHHHHHHHHHHHHHH GOD DANG IT HOT DOGS HAVE PIERCED MY SPLEEN!!! OH DEAR LORD I'M IN PAIN!!!,*make a quick getaway*,*make a quick getaway*,*make a quick getaway*,*make a quick getaway*,Narrator,15
240,MMMMMMMMMRRRRRRRRRRRRROOOOOOOOOOOOOWWWWWWWWWWWWWWW!!!,Sorry kitty!,Sorry kitty!,Sorry kitty!,Sorry kitty!,Narrator,8
241,BOINK!,Ow!,Ouchie!,Oof!,Ugh!,Narrator,7
242,It's Ninah and some guy you just ran into on the groundCOMMA it seems he hit his head harder than you did,WhoopsiesCOMMA sorry didn't mean to do that,WhoopsiesCOMMA sorry didn't mean to do that,WhoopsiesCOMMA sorry didn't mean to do that,WhoopsiesCOMMA sorry didn't mean to do that,Narrator,16
243,Watch where you're going next time (audible groan) *almost inaudible whisper (and I was in my happy place too)*,Sorry,Won't do that again,My apologies,"Kyle you can't even commit to a dab even less than the last ""girl"" you were with last year",Narrator,25
244,Oh hey theres a big ol' banana peel underneath my foot,*slip*,*slip*,*slip*,*slip*,Narrator,7
245,People around you stare at your fantastic flight,I hope nobody saw that,I hope nobody saw that,I hope nobody saw that,I hope nobody saw that,Narrator,10
246,A few swift U-turns and normal turns later you finally make it to a particular side alley. Theres nobody behind you. You continue on,...,...,...,...,Narrator,7
247,After that encounter you continue on making lefts and rights not hitting anyone,Continue on,Continue on,Continue on,Continue on,Narrator,10
248,After a couple more turns you make it to the basement supply room that counted as the Young Marxist Club HQ before the split,Lets see if she's here,Lets see if she's here,Lets see if she's here,Lets see if she's here,Narrator,11
249,The old door creaks open...,Hello? Is anyone in here?,Renin? Are you there?,*take a step inside*,Open and close the door multiple times to make it creak more,Narrator,16
250,*Silence*,Renin? Are you in there?,Hello?,*take a step inside*,Take out your phone light and take a look around,Narrator,16
251,*Shuffling noise further in*,HeyCOMMA you there?,I hear somebody in there!,*take a step inside*,Take out your phone light and take a look around,Narrator,16
252,*Silence*,I'm coming in there ok?,Can you hear me? I'm coming in there!,*take a step inside*,Take out your phone light and take a look around,Narrator,16
253,*creak*creak*creak*creak*creak*creak*creak*,*creak*,*creak*,*creak*,*creak*,Narrator,8
254,Stepping through the doorframe into the dark beyond you get the feeling you're being watched... when suddenly! A small shadow jumps out at you!,What the...,What the...,What the...,What the...,Narrator,7
255,When you've walked in a couple steps you see a pink blur jump out at you from behind some crates,What the...,What the...,What the...,What the...,Narrator,7
256,Showtime!,Let's battle!,Let's battle!,Let's battle!,Let's battle!,Shadow Sudarin,10
257,Showtime!,Let's battle!,Let's battle!,Let's battle!,Let's battle!,Shadow Sudarin,10
258,The shadow leaps out screaming RIGHT JAB ULTIMATE HEADSHOT!,Attack,Block,Left Dodge,Right Dodge,Shadow Sudarin,12
259,The shadow deflects your punch with it's ownCOMMA but it does only scrape your head,phew!,phew!,phew!,phew!,Shadow Sudarin,15
260,You manage to deflect the blowCOMMA but the power behind it leaves your arms shaking,phew!,phew!,phew!,phew!,Shadow Sudarin,15
261,You sidestep the shadow's punch completelyCOMMA taking the time to back up a couple more steps,phew!,phew!,phew!,phew!,Shadow Sudarin,15
262,You try and sidestep the shadow's punchCOMMA you went the wrong way thoughCOMMA and are only able to move enough for the punch to scrape past,phew!,phew!,phew!,phew!,Shadow Sudarin,15
263,The blurr leaps out screaming RIGHT JAB ULTIMATE HEADSHOT!,Attack,Block,Left Dodge,Right Dodge,Shadow Sudarin,17
264,The blurr deflects your punch with it's ownCOMMA but it does only scrape your head,phew!,phew!,phew!,phew!,Shadow Sudarin,15
265,You manage to deflect the blowCOMMA but the power behind it leaves your arms shaking,phew!,phew!,phew!,phew!,Shadow Sudarin,15
266,You sidestep the blurr's punch completelyCOMMA taking the time to back up a couple more steps,phew!,phew!,phew!,phew!,Shadow Sudarin,15
267,You try and sidestep the blurr's punchCOMMA you went the wrong way thoughCOMMA and are only able to move enough for the punch to scrape past,phew!,phew!,phew!,phew!,Shadow Sudarin,15
268,As the shadow darts at youCOMMA you hear: ULTIMATE PERFECT HIT KNOCKOUT GUT PUNCH!!!,Attack,Block,Left Dodge,Right Dodge,Shadow Sudarin,12
269,As the blurr darts at youCOMMA you hear: ULTIMATE PERFECT HIT KNOCKOUT GUT PUNCH!!!,Attack,Block,Left Dodge,Right Dodge,Shadow Sudarin,17
270,As your fist swings forwardCOMMA you feel a big pain in your gutCOMMA winding you,oof,ugh god...,*grunt*,muh...,Shadow Sudarin,15
271,You try to sidestep away from your mysterious assailantCOMMA but it's uselessCOMMA pain spreads throughout your gut and you get winded,oof,ugh god...,*grunt*,muh...,Shadow Sudarin,15
272,You try to block their attackCOMMA but they caught you too off-guard. Pain explodes in your gutCOMMA winding you,oof,ugh god...,*grunt*,muh...,Shadow Sudarin,15
273,You barely get your arms up in timeCOMMA blow still vibrating through your body you hear: SACRED UNBLOCKABLE VALKYRIE RIGHT HOOK!!!,Attack,Block,Left Dodge,Right Dodge,Shadow Sudarin,17
274,Like a scene right out of your favourite animeCOMMA your fist meets theirsCOMMA but theirs pushes right through yours,Oh no,Oh no,Oh no,Oh no,Shadow Sudarin,15
275,You try to stop itCOMMA but your assailant yelled unblockable for a reason,Oh no,Oh no,Oh no,Oh no,Shadow Sudarin,15
276,You dart right into the path of the right hookCOMMA smart move,whopsydoodles,whopsydoodles,whopsydoodles,whopsydoodles,Shadow Sudarin,15
277,You dart leftCOMMA but stumble onto a convenient bananna peel. Your face slips right into the path of her fist,Oh no,Oh no,Oh no,Oh no,Shadow Sudarin,15
278,"Darting to the leftCOMMA their fist flies right past you. You can just make out a whispered ""uh-oh""",Attack,Block,Left Dodge,Right Dodge,Shadow Sudarin,17
279,You stand there stopping an attack that wasn't coming. Just standing there like an idiot,huh,huh,huh,huh,Shadow Sudarin,15
280,You sidestep the non-existant attackCOMMA almost tripping over your own 2 feet in the process,huh,huh,huh,huh,Shadow Sudarin,15
281,You wind up a bolo punchCOMMA but you knock the ceiling destabilizing it. Debris fall on you with an exceptionally heavy part hitting your head,huh,huh,huh,huh,Shadow Sudarin,15
282,Mid-swing you hear PERFECT UNSTOPPABLE DEFENCE!!! As your punch connects you know it didn't do anything,...,...,...,...,Shadow Sudarin,20
283,Your assailant leaps backwards away from youCOMMA revealing a smallCOMMA young lookingCOMMA pink haired girl,...,...,...,...,Sudarin,20
284,RRRRRRRRRRRRRGGGGGGGHHHHHHH! MAXIMUM POWER NEVER-MISS ULTRA IMPACT BLOCK BREAK MEGA DEATH JUMP KICK!!!,Attack,Block,Dodge Back,SHORYUKEN!,Sudarin,15
285,A good attemptCOMMA but the kick had a bigger hitboxCOMMA you got nutted on,oof,ugh,muh,grah,Sudarin,15
286,You run out of stamina bar and it hits full force. It's useless to resist,oof,ugh,muh,grah,Sudarin,15
287,You can't dodge the never-miss attackCOMMA it'll just keep on comingCOMMA and it'll keep on comingCOMMA and it'll keep on coming...,oof,ugh,muh,grah,Sudarin,15
288,You mistime it! Leaving you completely open to her attack,oof,ugh,muh,grah,Sudarin,15
289,You nut 'emCOMMA unfortunately she doesn't have nuts to nutCOMMA but it works well enough,...,...,...,...,Sudarin,20
290,She staggers backCOMMA picking a hammer up off the ground yelling DIE DIE MISSILE BARRAGE OF DEATH!!!,Attack,Block,Down Dodge,Up Dodge,Sudarin,17
291,You headbut the thrown projectileCOMMA what a good idea,:),:),:),:),Sudarin,15
292,You grab it by the handle mid air! The force it was thrown with carries it through to your headCOMMA but that was goshdarn cool!,:),:),:),:),Sudarin,15
293,Jumping up the hammer misses your faceCOMMA but it smacks right into your gut,:(,:(,:(,:(,Sudarin,15
294,You pop a squat too low and poke yourself on a tacCOMMA the pain pushes you up just enough to get hit by the tail end of the hammer,:(,:(,:(,:(,Sudarin,15
295,You pop a squat as the hammer WHIZZES above your head embedding itself in the wall behind you,Grab it,Hide,Run for the door,Attack Now While She's Vulnerable,Sudarin,17
296,It's in there real goodCOMMA trying to yoink it out seems fruitlessCOMMA you suddenly feel real lucky you didn't get hit by that,crud,crud,crud,crud,Sudarin,15
297,The door seems to have shut and locked itself somehowCOMMA escape doesn't seem possible,crud,crud,crud,crud,Sudarin,15
298,Looking around the boxes are all taped shutCOMMA the only things around are books across the floorCOMMA and your assailant is blocking the path further in,crud,crud,crud,crud,Sudarin,15
299,You hear SHNCKT from behind youCOMMA whipping around you see the girl with a sickle in hand start sprinting towards you,crud,crud,crud,crud,Sudarin,15
300,The girl pulls out what looks like a switchbladeCOMMA but then SCHNCKT out pops the sickle,oh crud,oh crud,oh crud,oh crud,Sudarin,15
301,STUPENDOUS SUPER SPEED SICKLE STRIKE!!!,Block,Sweep Leg,Left Dodge,Right Dodge,Sudarin,8
302,The book you grabbed off the ground stops the sickle by about 30 pagesCOMMA unfortunately it blinds you to what happens next,dang,dang,dang,dang,Sudarin,7
303,You grab a book from the floorCOMMA unfortunately it was a magazine and her sickle goes through it like it wasn't there,dang,dang,dang,dang,Sudarin,7
304,Ducking her slash you manage to trip herCOMMA the sickle goes flying,Yes!,Yes!,Yes!,Yes!,Sudarin,7
305,She jumps over your attack. Sickle just wizzing past your earCOMMA you get a new haircut. Getting put off balance you're wide open,dang,dang,dang,dang,Sudarin,7
306,You just manage to deke out of the way of her slashes. But all this bobbing and weaving puts you on some poor footing,dang,dang,dang,dang,Sudarin,7
307,She's too fast! You manage to deke to the sideCOMMA but she still nicks you with a small scratch. Unfortunately this puts you on some poor footing,dang,dang,dang,dang,Sudarin,7
308,Impressive displayCOMMA I guess I'll have to start taking things seriously... *pulls out an ice pick*,Bring it!,Bring it!,Bring it!,Bring it!,Sudarin,12
309,Sudawin nyo! wait! (。O ω O。),huh?,huh?,huh?,huh?,Renin,7
310,A familliar looking catgirl bursts throught the door at the other side of the room,...,...,...,...,Narrator,7
311,After half a second she rushes to you and smothers you in a hug,..!,..!,..!,..!,Narrator,7
312,The next thing you know the pain makes it too hard to stay standing,gruh...,gruh...,gruh...,gruh...,Sudarin,7
313,Big sis ViraCOMMA how do you want me to dispose of the intruder?~,What,Help,Who,Trip the speaker!,Sudarin,10
314,Ohoho not yet out are weCOMMA lets just fix that real quick *liver kick*,Oh wow I can't move now,Oh wow I can't move now,Oh wow I can't move now,Oh wow I can't move now,Sudarin,10
315,Now while you can't move I might as well... *kicks head really hard*,Oh wow everything's going black,Oh wow everything's going black,Oh wow everything's going black,Oh wow everything's going black,Sudarin,10
316,Sudawin nyo! (。O ω O。),Suitering who?,Suitering who?,Suitering who?,Suitering who?,Renin,9
317,Oh deaw me awe you ok Twotsuki? oh cwud Sudawin what did you do to hew?,...,...,...,...,Renin,7
318,As you come too you feel a cold feeling on your side and headCOMMA looks like they're too worried to take you to the nurse,HuhCOMMA guess I'm not gonna die after all,WowCOMMA that little thing really packs a punch,I wonder how long I've been out,That second person seemed familliarCOMMA I wonder who they are,Narrator,19
319,Vira! She's awake now~,Wow I didn't see herCOMMA I guess I should probably put my glasses on,Wow I didn't see herCOMMA I guess I should probably put my glasses on,Wow I didn't see herCOMMA I guess I should probably put my glasses on,Wow I didn't see herCOMMA I guess I should probably put my glasses on,Sudarin,20
320,You put your glasses on just in time to see a familiar catgirl smother you in a big hug,...,...,...,...,Narrator,7
321,Oh thank goodnyess you'we ok TwotsukiCOMMA I don't think Sudawin did any pewmanyent damage,Renin? Oh thank goodness it's you,heheheCOMMA thanksCOMMA it's good to see you too Renin,I feel kinda soreCOMMA tiredCOMMA and dizzy but that doesn't matter now that you're back,OhI'mFineDon'tWorryAboutItHow'reYouIt'sSoGoodToSeeYou!,Renin,21
322,HahahaCOMMA yeah it's weawwy nyice to see you again too wittwe onye,How long have you been on the island?,Where are you living here?,Did you have any trouble getting here?,Is anyone already after you?,Renin,14
323,I just got hewe 2 houws agoCOMMA my fewwy awwived a bit eawwy,Where are you living here?,Did you have any trouble getting here?,Is anyone already after you?,SoCOMMA who's this Suitering,Renin,12
324,I got singwe dowm woom about a 5 minyute wawk fwom hewe,How long have you been on the island?,Did you have any trouble getting here?,Is anyone already after you?,SoCOMMA who's this Suitering,Renin,12
325,Some of the bouwgeoisie gave me funny wooksCOMMA some peopwe smiwed when they wecognyized meCOMMA but most peopwe don't knyow me by sight,How long have you been on the island?,Where are you living here?,Is anyone already after you?,SoCOMMA who's this Suitering,Renin,12
326,We think the admins gave some infowmants the nyews about usCOMMA but you can nyevew be too cawefuw,How long have you been on the island?,Where are you living here?,Did you have any trouble getting here?,SoCOMMA who's this Suitering,Renin,12
327,HehCOMMA nyo it's SudawinCOMMA she's become a gweat hewp to the cause since ouw spwit. She's my most capibwe advisow,Good choice,Strong arm,Bit of a thug no?,A bit jumpy,Renin,10
328,*big smile* I'll give you two some privacy~ *walks out of the room*,Thanks,Thanks,Thanks,Thanks,Sudarin,8
329,Sudarin doesn't say anythingCOMMA she just quietly shifts around as if to grab something...,...,...,...,...,Narrator,7
330,Sudawin nyo! Twotsuki apowogize to hewCOMMA that was vewy wude,Sorry,Sorry,Sorry,Sorry,Renin,8
331,*whisper whisper* I'll jump you *whisper whisper*,So anyways...,So anyways...,So anyways...,So anyways...,Sudarin,10
332,Sowwy SudawinCOMMA do you mind giving us a moment awonye?,Chop chop,Pip pip,Hurry up,*heavy russian accent* Potoropis',Renin,15
333,...,...,...,...,...,Renin,7
